choraleNumber,voiceType,amountOFArpeggiation,averageMelodicInterval,averageNumberOfIndependentVoices,durationOfMelodicArcs,repeatedNotes,melodicTempiFullChorale,rangeFullChorale,stepwiseMinusChromaticFull,majorMinusMinorFull,dissonantChordsFull
72, W,0.281690141,2.422535211,1,10.58333333,0.112676056,-0.062365029,1.259533101,0.411971831,0.258928571,0.526785714
73, W,0.281081081,2.118918919,1,14.33333333,0.151351351,-1.056256823,0.50715511,0.394594595,0.160493827,0.530864198
74, W,0.372413793,2.234482759,1,7.411764706,0.179310345,-3.206686558,-1.036990413,0.351724138,0.255813953,0.76744186
75, W,0.291089109,2.185148515,1,40.83333333,0.156435644,1.920499214,1.814963389,0.396039604,0.125319693,0.519181586
76, W,0.30472103,2.223175966,1,12.41176471,0.180257511,-0.363931313,0.692298539,0.403433476,0.344827586,0.505747126
77, W,0.25,2.505681818,1,9.8125,0.096590909,1.21553072,1.62981996,0.380681818,0.032258065,0.516129032
78, W,0.308219178,2.212328767,1,5.318181818,0.150684932,-1.548532499,-0.587924473,0.356164384,0.018518519,0.537037037
79, W,0.344370861,2.21192053,1,7.9375,0.19205298,0.667684259,-0.812457443,0.350993377,0.425925926,0.574074074
81, W,0.254901961,2.259803922,1,12.46666667,0.132352941,0.572609267,-0.627314014,0.348039216,-0.056338028,0.478873239
82, W,0.261437908,2.209150327,1,9.714285714,0.14379085,0.784934859,-0.178248074,0.39869281,0,0.588235294
83, W,0.31875,1.775,1,8.5625,0.25,1.186649422,-0.402781044,0.35625,0.152542373,0.491525424
84, W,0.270935961,1.689655172,1,16.81818182,0.206896552,-0.235982321,0.613519458,0.428571429,0.1125,0.3875
85, W,0.304347826,1.859903382,1,10.88235294,0.193236715,1.554939351,-1.419081546,0.338164251,-0.06097561,0.5
86, W,0.231527094,2.206896552,1,10.70588235,0.093596059,-0.102404194,0.838052428,0.408866995,0.202702703,0.5
87, W,0.269326683,2.234413965,1,16.39130435,0.137157107,1.84843716,0.310207406,0.389027431,0.091549296,0.556338028
88, W,0.28,2.26,1,7.294117647,0.14,0.049778527,-0.851846984,0.413333333,0.105263158,0.526315789
89, W,0.252212389,1.849557522,1,9.714285714,0.163716814,-2.861606277,-0.587924473,0.384955752,0.085714286,0.742857143
90, W,0.22173913,2.447826087,1,11.05263158,0.060869565,-1.448309935,-0.060079452,0.4,0.038834951,0.54368932
91, W,0.38559322,2.199152542,1,12.52941176,0.237288136,-2.472177378,2.157664981,0.305084746,0.134831461,0.494382022
93, W,0.313492063,2.166666667,1,12.83333333,0.174603175,-0.058056541,0.388986488,0.341269841,0.294736842,0.505263158
94, W,0.169642857,2.410714286,1,13.8,0.066964286,-0.062460687,-0.060079452,0.473214286,0.1625,0.5875
95, W,0.239852399,2.376383764,1,8.206896552,0.10701107,-0.193946356,0.164453518,0.398523985,0.315789474,0.610526316
96, W,0.283018868,2.075471698,1,11.83333333,0.188679245,-2.388762676,-1.525445894,0.389937107,0.393442623,0.524590164
97, W,0.272479564,1.9373297,1,18.15789474,0.155313351,1.515714323,-0.627314014,0.378746594,0.068493151,0.493150685
98, W,0.374301676,1.681564246,1,7.6,0.268156425,1.164918647,-0.363391503,0.284916201,0.194029851,0.462686567
99, W,0.215189873,2.139240506,1,17.23076923,0.109704641,1.159075975,-0.138858534,0.405063291,0.111111111,0.50617284
100, W,0.303030303,2.194805195,1,13.375,0.155844156,-0.440711488,-0.587924473,0.359307359,0.098765432,0.567901235
101, W,0.225108225,2.151515152,1,16.76923077,0.112554113,0.924684954,-0.138858534,0.432900433,0.109756098,0.524390244
102, W,0.295373665,2.06405694,1,15.35294118,0.170818505,0.131929184,0.613519458,0.384341637,0.366336634,0.465346535
103, W,0.237209302,2.655813953,1,16.91666667,0.08372093,-1.684182012,1.40528699,0.386046512,0.164556962,0.518987342
104, W,0.349480969,2.169550173,1,21,0.204152249,0.385747419,0.916831509,0.301038062,-0.038095238,0.533333333
105, W,0.256281407,2.296482412,1,14.30769231,0.125628141,-1.11197296,2.303418869,0.361809045,0.014285714,0.471428571
106, W,0.325123153,1.97044335,1,10.11111111,0.201970443,-0.235982321,-1.076379954,0.374384236,0.291666667,0.513888889
107, W,0.4,2.174358974,1,12.35714286,0.246153846,-0.592090608,-0.060079452,0.358974359,0.292307692,0.6
108, W,0.253456221,1.898617512,1,11.64705882,0.188940092,-0.345339618,-1.828757945,0.423963134,0.266666667,0.506666667
109, W,0.25,1.942477876,1,19.45454545,0.152654867,-0.092246005,0.388986488,0.387168142,0.151515152,0.503030303
110, W,0.234146341,2.287804878,1,7.5,0.092682927,0.317353906,0.388986488,0.429268293,0.139240506,0.544303797
